"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg06208229,0.12,0.042,0.97,1.00,chr16,1145964,C1QTNF8,5'UTR,,
cg11216616,-0.14,0.042,0.97,1.00,chr12,120555510,RAB35;RAB35,TSS1500;TSS1500,,
cg13749063,-0.13,0.042,0.97,1.00,chr20,60809561,,,,
cg22164207,-0.14,0.042,0.97,1.00,chr1,152383842,CRNN,Body,,
cg08137085,0.14,0.042,0.97,1.00,chr7,1117540,C7orf50;C7orf50;C7orf50,Body;Body;Body,,
cg07408148,-0.18,0.042,0.97,1.00,chr5,15021403,,,,
cg21488279,0.13,0.042,0.97,1.00,chr5,122434178,PRDM6,Body,,
cg08842062,0.14,0.042,0.97,1.00,chr17,75875537,FLJ45079,Body,,
cg18186478,0.10,0.042,0.97,1.00,chr8,23423960,SLC25A37,Body,,
cg17736997,0.16,0.042,0.97,1.00,chr6,163851615,QKI;QKI;QKI;QKI,Body;Body;Body;Body,,
cg10019467,0.11,0.042,0.97,1.00,chr4,40632788,RBM47,TSS1500,,
cg24427992,0.14,0.042,0.97,1.00,chr11,43599355,,,,
cg18703721,0.14,0.042,0.97,1.00,chr10,75282672,USP54,Body,,
cg08676249,0.14,0.042,0.97,1.00,chr7,69064868,AUTS2;AUTS2;AUTS2,1stExon;1stExon;1stExon,,
cg06922599,-0.30,0.042,0.97,1.00,chr12,3427727,,,,
cg01709045,0.12,0.042,0.97,1.00,chr6,168388388,,,,
cg05440785,0.27,0.042,0.97,1.00,chr13,112979932,,,,
cg15123692,0.30,0.042,0.97,1.00,chr2,23886357,KLHL29,Body,,
cg12050271,0.11,0.042,0.97,1.00,chr1,2980399,FLJ42875,Body,,
cg12249234,0.14,0.042,0.97,1.00,chr17,25867613,KSR1,5'UTR,,
cg00129563,0.16,0.042,0.97,1.00,chr5,122434853,PRDM6,Body,,
cg19435621,0.20,0.042,0.97,1.00,chr7,94538251,PPP1R9A;PPP1R9A;PPP1R9A;PPP1R9A;PPP1R9A,TSS1500;5'UTR;TSS1500;TSS1500;5'UTR,,
cg09935388,-0.31,0.042,0.97,1.00,chr1,92947588,GFI1;GFI1;GFI1,Body;Body;Body,,
cg14480262,0.25,0.042,0.97,1.00,chr14,73703844,PAPLN,TSS1500,,
cg25730573,0.12,0.042,0.97,1.00,chr18,60987425,BCL2;BCL2,TSS1500;TSS1500,,
cg05336982,-0.22,0.042,0.97,1.00,chr16,69564735,,,,
cg02566288,0.22,0.042,0.97,1.00,chr6,166667022,,,,
cg09490880,-0.21,0.042,0.97,1.00,chr4,24914970,CCDC149;CCDC149,TSS1500;5'UTR,,
cg14090004,0.13,0.042,0.97,1.00,chr11,46955183,,,,
cg04980590,0.19,0.042,0.97,1.00,chr5,3590820,,,,
cg14737286,0.14,0.042,0.97,1.00,chr10,131761206,EBF3,Body,,
cg13343818,0.12,0.042,0.97,1.00,chr2,172951966,DLX1;DLX1,Body;Body,,
cg14648916,0.38,0.042,0.97,1.00,chr5,175224322,CPLX2,5'UTR,,
cg18040181,0.13,0.042,0.97,1.00,chr10,76588616,MYST4,5'UTR,,
cg22137075,-0.14,0.042,0.97,1.00,chr17,61046563,,,,
cg04102894,-0.23,0.042,0.97,1.00,chr7,1000210,,,,
cg16078886,-0.12,0.042,0.97,1.00,chr18,29673278,RNF138;RNF138,Body;Body,,
cg03841638,-0.11,0.042,0.97,1.00,chr17,77911850,,,,
cg05316627,-0.18,0.042,0.97,1.00,chr6,87861261,,,,
cg15103709,-0.20,0.042,0.97,1.00,chr5,1864520,,,,
cg07097933,-0.24,0.042,0.97,1.00,chr7,104635967,,,,
cg00843352,0.17,0.042,0.97,1.00,chr6,28602791,,,,
cg20443138,0.33,0.042,0.97,1.00,chr2,183943496,DUSP19;DUSP19;DUSP19;DUSP19,1stExon;1stExon;5'UTR;5'UTR,,
cg20937139,0.21,0.042,0.97,1.00,chr4,157892758,PDGFC,TSS1500,,
cg25149253,0.14,0.042,0.97,1.00,chr11,61324205,SYT7,Body,,
cg14895298,-0.18,0.042,0.97,1.00,chr20,61867178,BIRC7;BIRC7,TSS200;TSS200,,
cg17370364,0.12,0.042,0.97,1.00,chr6,572771,EXOC2,Body,,
cg03153360,0.12,0.042,0.97,1.00,chr19,55882504,IL11,TSS1500,,
cg04346572,-0.19,0.042,0.97,1.00,chr20,17512294,BFSP1;BFSP1,Body;TSS1500,,
cg26218577,0.21,0.042,0.97,1.00,chr15,69744466,RPLP1;RPLP1,TSS1500;TSS1500,,
cg23343264,-0.18,0.042,0.97,1.00,chr12,118454133,RFC5;RFC5;RFC5;RFC5,TSS1500;TSS1500;TSS1500;TSS1500,,
cg02378784,-0.19,0.042,0.97,1.00,chr2,208656272,,,,
cg15540596,-0.18,0.042,0.97,1.00,chr8,92052817,TMEM55A,Body,,
cg11680026,0.15,0.042,0.97,1.00,chr11,77906503,USP35,5'UTR,,
cg14087351,0.11,0.042,0.97,1.00,chr7,73037990,MLXIPL;MLXIPL;MLXIPL;MLXIPL,Body;Body;Body;Body,,
cg18574254,-0.27,0.042,0.97,1.00,chr7,126889015,GRM8,5'UTR,,
cg04380939,0.18,0.042,0.97,1.00,chr16,14658873,PARN;PARN,Body;Body,,
cg07101029,-0.12,0.042,0.97,1.00,chr16,2127004,TSC2;TSC2;TSC2,Body;Body;Body,,
cg26680077,-0.20,0.042,0.97,1.00,chr7,26333984,SNX10,5'UTR,,
cg01187496,-0.17,0.042,0.97,1.00,chr5,167718124,WWC1;WWC1;WWC1,TSS1500;TSS1500;TSS1500,,
cg02619834,0.11,0.042,0.97,1.00,chr10,111782464,ADD3;ADD3;ADD3,5'UTR;5'UTR;5'UTR,,
cg03083228,-0.25,0.042,0.97,1.00,chr11,43660436,,,,
cg27057027,0.16,0.042,0.97,1.00,chr7,27243276,,,,
cg11332928,-0.22,0.042,0.97,1.00,chr1,45273680,BTBD19;TCTEX1D4,TSS1500;TSS1500,,
cg09686333,-0.16,0.042,0.97,1.00,chr2,105586610,,,,
cg04863197,0.14,0.042,0.97,1.00,chr17,79897974,MYADML2,3'UTR,,
cg16838358,-0.18,0.042,0.97,1.00,chr3,10670923,,,,
cg06262832,-0.15,0.042,0.97,1.00,chr7,155859289,,,,
cg25241102,-0.27,0.042,0.97,1.00,chr2,138721836,HNMT;HNMT;HNMT;HNMT;HNMT;HNMT,1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR,,
cg14778691,-0.11,0.042,0.97,1.00,chr8,143430202,TSNARE1,Body,,
cg26188226,-0.19,0.042,0.97,1.00,chr6,136306290,PDE7B,Body,,
cg07732143,0.28,0.042,0.97,1.00,chr6,36807193,CPNE5;CPNE5,1stExon;5'UTR,,
cg26155152,0.09,0.042,0.97,1.00,chr19,2943999,ZNF77,Body,,
cg08551619,-0.29,0.042,0.97,1.00,chr3,100118960,LNP1;TOMM70A,TSS1500;Body,,
cg26199241,0.19,0.042,0.97,1.00,chr17,59529486,,,,
cg09734162,-0.16,0.042,0.97,1.00,chr16,557929,RAB11FIP3;RAB11FIP3,Body;Body,,
cg12031896,0.13,0.042,0.97,1.00,chr2,131110938,,,,
cg00760067,-0.11,0.042,0.97,1.00,chr1,3532130,,,,
cg08144042,-0.22,0.042,0.97,1.00,chr22,50602230,,,,
cg25505023,-0.16,0.042,0.97,1.00,chr5,9661569,LOC285692,Body,,
cg10699852,-0.23,0.042,0.97,1.00,chr3,195863402,,,,
cg12944197,0.44,0.042,0.97,1.00,chr2,168149991,,,,
cg16503924,0.25,0.042,0.97,1.00,chr5,19988368,CDH18;CDH18,TSS200;TSS200,,
cg03069902,0.18,0.042,0.97,1.00,chr10,98740843,C10orf12,TSS200,,
cg05883128,0.10,0.042,0.97,1.00,chr4,169239131,DDX60,5'UTR,,
cg06038599,0.19,0.042,0.97,1.00,chr13,112705308,,,,
cg27170782,0.18,0.042,0.97,1.00,chr17,46800028,PRAC;C17orf93,TSS200;TSS1500,,
cg26135831,-0.13,0.042,0.97,1.00,chr13,44304874,ENOX1,5'UTR,,
cg02863594,0.27,0.042,0.97,1.00,chr6,33280199,TAPBP;TAPBP;TAPBP,Body;Body;Body,,
cg09908494,-0.13,0.042,0.97,1.00,chr4,105412470,CXXC4,TSS200,,
cg11236841,-0.24,0.042,0.97,1.00,chr4,35567978,,,,
cg09257735,0.24,0.042,0.97,1.00,chr14,93581049,ITPK1;ITPK1;ITPK1,Body;Body;Body,,
cg12168926,-0.17,0.042,0.97,1.00,chr12,8973966,A2ML1,TSS1500,,
cg10169183,0.16,0.042,0.97,1.00,chr16,81111960,C16orf46;C16orf46,TSS1500;TSS1500,,
cg00825951,0.27,0.042,0.97,1.00,chr1,44871429,RNF220,5'UTR,,
cg07122218,-0.19,0.042,0.97,1.00,chr14,78433906,,,,
cg06673536,-0.19,0.042,0.97,1.00,chr19,45213941,CEACAM16,3'UTR,,
cg20315346,0.29,0.042,0.97,1.00,chr15,41523051,CHP;EXD1,TSS1500;TSS200,,
cg18430255,-0.09,0.042,0.97,1.00,chr10,121028978,GRK5,Body,,
cg25716814,0.17,0.042,0.97,1.00,chr19,13124960,NFIX,Body,,
cg23143603,-0.14,0.042,0.97,1.00,chr11,82783581,RAB30,TSS1500,,
cg22512292,-0.20,0.042,0.97,1.00,chr5,59824695,PART1,Body,,
cg16465502,0.24,0.042,0.97,1.00,chr2,105461796,,,,
cg21167716,0.11,0.042,0.97,1.00,chr12,132896743,GALNT9,Body,,
cg05416643,0.15,0.042,0.97,1.00,chr18,48557332,SMAD4,5'UTR,,
cg25216696,0.15,0.042,0.97,1.00,chr8,11565351,GATA4,5'UTR,,
cg21609034,0.14,0.042,0.97,1.00,chr20,3869759,PANK2;PANK2;PANK2,5'UTR;TSS1500;1stExon,,
cg19849386,0.10,0.042,0.97,1.00,chr19,1391281,NDUFS7,Body,,
cg07189550,0.14,0.042,0.97,1.00,chr1,179851385,TOR1AIP1,TSS200,,
cg16799785,-0.22,0.042,0.97,1.00,chr15,82381568,,,,
cg18094907,0.13,0.042,0.97,1.00,chr9,126778017,LHX2,Body,,
cg16134430,-0.19,0.042,0.97,1.00,chr21,34636155,IFNAR2,3'UTR,,
cg15593298,0.30,0.042,0.97,1.00,chr3,142681996,PAQR9,1stExon,,
cg06737308,0.44,0.042,0.97,1.00,chr4,185021514,ENPP6,Body,,
cg02919615,0.22,0.042,0.97,1.00,chr19,1295656,EFNA2,Body,,
cg01549069,-0.15,0.042,0.97,1.00,chr19,4338807,STAP2;STAP2;STAP2;STAP2,1stExon;5'UTR;5'UTR;1stExon,,
cg16814688,-0.20,0.042,0.97,1.00,chr1,220092812,SLC30A10,Body,,
cg23387056,0.27,0.042,0.97,1.00,chr11,14280742,SPON1,Body,,
cg26216629,0.12,0.042,0.97,1.00,chr5,153863712,,,,
cg01765111,0.39,0.042,0.97,1.00,chr1,37784244,,,,
cg02532518,0.54,0.042,0.97,1.00,chr16,3210066,,,,
cg09970120,0.30,0.042,0.97,1.00,chr7,155167844,,,,
cg18731519,-0.15,0.042,0.97,1.00,chr1,9100328,SLC2A5;SLC2A5,Body;Body,,
cg18393202,0.12,0.042,0.97,1.00,chr10,32048292,,,,
cg09393675,0.26,0.042,0.97,1.00,chr17,37764250,NEUROD2,TSS200,,
cg00174654,0.12,0.042,0.97,1.00,chr1,115110293,BCAS2,3'UTR,,
cg16340268,-0.15,0.042,0.97,1.00,chr1,226925172,ITPKB,5'UTR,,
cg21838979,0.13,0.042,0.97,1.00,chr2,106681945,C2orf40,TSS200,,
cg26426632,0.11,0.042,0.97,1.00,chr1,114697707,SYT6,TSS1500,,
cg14030586,0.22,0.042,0.97,1.00,chr9,136658254,VAV2;VAV2,Body;Body,,
cg12424468,0.24,0.042,0.97,1.00,chr11,64863373,C11orf2,TSS1500,,
cg01285391,0.48,0.042,0.97,1.00,chr19,53465759,ZNF816A,5'UTR,,
cg01147137,-0.14,0.042,0.97,1.00,chr5,55116395,,,,
cg20095587,0.13,0.042,0.97,1.00,chr6,41130718,TREM2,Body,,
cg24870967,0.10,0.042,0.97,1.00,chr5,115783345,SEMA6A,Body,,
cg06653796,-0.17,0.042,0.97,1.00,chr20,62367805,LIME1,TSS200,,
cg01894498,0.23,0.042,0.97,1.00,chr14,61655848,,,,
cg13295660,-0.18,0.042,0.97,1.00,chr2,225331381,,,,
cg09553448,-0.34,0.042,0.97,1.00,chr9,134000424,NUP214,TSS1500,,
cg24885417,0.29,0.042,0.97,1.00,chr7,24323764,NPY,TSS200,,
cg24343835,-0.20,0.042,0.97,1.00,chr2,56216234,MIR216A,TSS200,,
cg17420585,-0.25,0.042,0.97,1.00,chr12,42539391,GXYLT1;GXYLT1,TSS1500;TSS1500,,
cg04180093,0.13,0.042,0.97,1.00,chr7,99686359,COPS6,TSS1500,,
cg04521867,0.15,0.042,0.97,1.00,chr19,41054942,SPTBN4;SPTBN4,Body;Body,,
cg27578637,0.09,0.042,0.97,1.00,chr16,30775658,RNF40,Body,,
cg23412793,0.22,0.042,0.97,1.00,chr4,20253922,SLIT2,TSS1500,,
cg24263998,-0.16,0.042,0.97,1.00,chr3,30336262,,,,
cg05829046,-0.12,0.042,0.97,1.00,chr7,2557446,LFNG;LFNG,Body;TSS200,,
cg21967719,-0.13,0.042,0.97,1.00,chr2,225453495,,,,
cg10180367,-0.11,0.042,0.97,1.00,chr19,34808158,KIAA0355,Body,,
cg01096617,-0.24,0.042,0.97,1.00,chr16,58569180,CNOT1,Body,,
cg19419650,-0.22,0.042,0.97,1.00,chr19,7929643,EVI5L;EVI5L,3'UTR;3'UTR,,
cg18183671,-0.21,0.042,0.97,1.00,chr3,35720994,ARPP-21;ARPP-21;ARPP-21;ARPP-21,5'UTR;TSS200;TSS1500;TSS200,,
cg18201871,0.11,0.042,0.97,1.00,chr12,119582189,SRRM4,Body,,
cg15114105,0.40,0.042,0.97,1.00,chr19,49944820,SLC17A7,TSS200,,
cg00177203,0.14,0.042,0.97,1.00,chr1,149901142,MTMR11;MTMR11;SF3B4,Body;Body;TSS1500,,
cg08155759,-0.21,0.042,0.97,1.00,chr19,57324295,PEG3;PEG3;PEG3;ZIM2;ZIM2;PEG3;ZIM2;PEG3;PEG3AS,3'UTR;3'UTR;3'UTR;Body;Body;3'UTR;Body;3'UTR;Body,,
cg24916013,0.22,0.042,0.97,1.00,chr19,34973191,WTIP,1stExon,,
cg15146752,0.11,0.042,0.97,1.00,chr1,16482767,EPHA2,TSS1500,,
cg00977895,-0.13,0.042,0.97,1.00,chr3,159703013,,,,
cg12004276,0.11,0.042,0.97,1.00,chr11,33913586,LMO2;LMO2,1stExon;5'UTR,,
cg26056583,0.15,0.042,0.97,1.00,chr4,128651564,SLC25A31;SLC25A31,1stExon;5'UTR,,
cg22017132,0.13,0.042,0.97,1.00,chr6,42927199,GNMT,TSS1500,,
cg22980804,-0.16,0.042,0.97,1.00,chr12,52818037,KRT75,3'UTR,,
cg19962116,0.22,0.042,0.97,1.00,chr3,131080927,NUDT16P;NUDT16P,Body;Body,,
cg01670875,-0.12,0.042,0.97,1.00,chr15,34394114,PGBD4;C15orf24,TSS200;TSS200,,
cg09887251,-0.22,0.042,0.97,1.00,chr4,1024735,,,,
cg12559685,0.22,0.042,0.97,1.00,chr17,40839469,CNTNAP1,Body,,
cg20066001,0.10,0.042,0.97,1.00,chr1,2406733,PLCH2,TSS1500,,
cg26912890,0.38,0.042,0.97,1.00,chr1,214724875,PTPN14,TSS1500,,
cg15885440,0.18,0.042,0.97,1.00,chr12,29302714,,,,
cg14025029,-0.14,0.042,0.97,1.00,chr3,135913338,MSL2;MSL2,TSS200;Body,,
cg04407063,0.11,0.042,0.97,1.00,chr11,67051977,ADRBK1,Body,,
cg00550797,-0.13,0.042,0.97,1.00,chr16,57653904,GPR56;GPR56,TSS200;TSS200,,
cg24242002,0.17,0.042,0.97,1.00,chr18,21594044,TTC39C;TTC39C;TTC39C,5'UTR;TSS1500;TSS1500,,
cg11911498,0.11,0.042,0.97,1.00,chr11,72353424,PDE2A;PDE2A;PDE2A;PDE2A;PDE2A,1stExon;Body;Body;5'UTR;Body,,
cg27551625,0.15,0.042,0.97,1.00,chr10,88691926,,,,
cg24652205,0.10,0.042,0.97,1.00,chr5,88841819,,,,
cg15908186,0.25,0.042,0.97,1.00,chr14,58618357,C14orf37,5'UTR,,
cg05527113,0.14,0.042,0.97,1.00,chr15,65204428,ANKDD1A,Body,,
cg17970299,-0.45,0.042,0.97,1.00,chr12,54772804,ZNF385A;ZNF385A;ZNF385A,Body;Body;Body,,
cg23973393,0.21,0.042,0.97,1.00,chr19,50708921,MYH14;MYH14;MYH14,5'UTR;5'UTR;5'UTR,,
cg06391199,0.18,0.042,0.97,1.00,chr2,209271661,PTH2R;PTH2R,1stExon;5'UTR,,
cg20118857,-0.14,0.042,0.97,1.00,chr17,48228624,PPP1R9B,TSS1500,,
cg18557215,0.14,0.042,0.97,1.00,chr3,108633926,GUCA1C,Body,,
cg11708223,-0.19,0.042,0.97,1.00,chr8,6638123,,,,
cg20692831,0.23,0.042,0.97,1.00,chr5,134801907,,,,
cg05008004,0.17,0.042,0.97,1.00,chr8,2609691,,,,
cg17256609,-0.15,0.042,0.97,1.00,chr8,41643375,ANK1;ANK1;ANK1;ANK1;ANK1,Body;Body;Body;Body;Body,,
cg16786178,0.10,0.042,0.97,1.00,chr14,75764329,,,,
cg18224793,-0.16,0.042,0.97,1.00,chr7,100222124,TFR2,Body,,
cg26545307,-0.15,0.042,0.97,1.00,chr2,141958753,LRP1B,Body,,
cg25147351,-0.15,0.042,0.97,1.00,chr11,1491283,HCCA2,3'UTR,,
cg15489346,0.14,0.042,0.97,1.00,chr3,106861413,LOC100302640,Body,,
cg08062011,0.17,0.042,0.97,1.00,chr4,83483220,TMEM150C,TSS200,,
cg01914555,-0.17,0.042,0.97,1.00,chr16,6624095,A2BP1;A2BP1,5'UTR;5'UTR,,
cg13647382,0.11,0.042,0.97,1.00,chr6,75912547,COL12A1;COL12A1,5'UTR;5'UTR,,
cg14178336,-0.28,0.042,0.97,1.00,chr7,71803433,CALN1;CALN1,TSS1500;Body,,
cg23195687,-0.13,0.042,0.97,1.00,chr10,90847168,,,,
cg10202975,-0.17,0.042,0.97,1.00,chr5,96070916,CAST;CAST;CAST;CAST;CAST;CAST;CAST;CAST;CAST;CAST,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,,
cg18115627,0.46,0.042,0.97,1.00,chr1,44401979,ARTN;ARTN;ARTN;ARTN;ARTN,Body;Body;Body;Body;Body,,
cg07112131,0.35,0.042,0.97,1.00,chr12,14926909,H2AFJ;H2AFJ,TSS1500;TSS1500,,
cg03721362,0.39,0.042,0.97,1.00,chr5,126626298,MEGF10,TSS200,,
cg17252605,0.18,0.042,0.97,1.00,chr4,143767670,INPP4B;INPP4B,TSS200;TSS200,,
cg14329039,-0.12,0.042,0.97,1.00,chr10,3058109,,,,
cg20438460,-0.18,0.042,0.97,1.00,chr2,146580994,,,,
cg09595185,0.11,0.042,0.97,1.00,chr17,46667812,LOC404266;LOC404266,TSS200;TSS200,,
cg05400252,0.12,0.042,0.97,1.00,chr12,57394816,ZBTB39,3'UTR,,
cg11254602,-0.12,0.042,0.97,1.00,chr12,75703120,CAPS2,Body,,
cg17560338,-0.17,0.042,0.97,1.00,chr17,42441417,FAM171A2,TSS200,,
cg26726652,-0.15,0.043,0.97,1.00,chr13,112282523,,,,
cg00806461,0.12,0.043,0.97,1.00,chr3,194408071,FAM43A,1stExon,,
cg11601443,-0.17,0.043,0.97,1.00,chr12,113415930,OAS2;OAS2;OAS2,TSS1500;TSS1500;TSS1500,,
cg14714222,-0.27,0.043,0.97,1.00,chr20,47440761,PREX1,Body,,
cg23272305,0.11,0.043,0.97,1.00,chr19,16582048,EPS15L1,Body,,
cg07817024,0.23,0.043,0.97,1.00,chr1,119535500,,,,
cg01468711,-0.12,0.043,0.97,1.00,chr16,29706291,QPRT,Body,,
cg00887101,0.21,0.043,0.97,1.00,chr11,62420578,INTS5,Body,,
cg05376937,-0.16,0.043,0.97,1.00,chr1,224819677,CNIH3,Body,,
cg05353710,0.24,0.043,0.97,1.00,chr1,28586936,SESN2,Body,,
cg23981172,-0.18,0.043,0.97,1.00,chr14,48146158,,,,
cg06256858,0.22,0.043,0.97,1.00,chr4,5890289,CRMP1;CRMP1;CRMP1,Body;1stExon;5'UTR,,
cg01077267,-0.12,0.043,0.97,1.00,chr5,102456664,GIN1,TSS1500,,
cg23511374,0.11,0.043,0.97,1.00,chr11,3819013,PGAP2;NUP98;NUP98;PGAP2;NUP98;PGAP2;PGAP2;NUP98;PGAP2,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;Body,,
cg07775420,-0.17,0.043,0.97,1.00,chr12,110159458,C12orf34,5'UTR,,
cg26013396,0.11,0.043,0.97,1.00,chr14,64191548,SGPP1,Body,,
cg02440668,0.60,0.043,0.97,1.00,chr17,77721989,,,,
cg17496990,-0.20,0.043,0.97,1.00,chr5,147552209,SPINK5L2,Body,,
cg03736781,-0.21,0.043,0.97,1.00,chr7,158784655,,,,
cg11339341,0.20,0.043,0.97,1.00,chr5,87969330,LOC645323;LOC645323;LOC645323,TSS200;Body;Body,,
cg09521575,-0.16,0.043,0.97,1.00,chr8,19041618,,,,
cg01591416,0.21,0.043,0.97,1.00,chr8,30601572,UBXN8,TSS200,,
cg25217428,0.17,0.043,0.97,1.00,chr1,168148809,TIPRL;TIPRL,Body;Body,,
cg07805345,-0.11,0.043,0.97,1.00,chr3,46922486,PTH1R,5'UTR,,
cg17001652,-0.18,0.043,0.97,1.00,chr4,78432403,CXCL13,TSS1500,,
cg18070621,0.23,0.043,0.97,1.00,chr17,79869449,PCYT2,TSS200,,
cg09095551,0.18,0.043,0.97,1.00,chr16,5007694,SEC14L5,TSS1500,,
cg12854762,0.10,0.043,0.97,1.00,chr7,138554496,KIAA1549;KIAA1549,Body;Body,,
cg20168230,0.18,0.043,0.97,1.00,chr1,37499649,GRIK3,1stExon,,
cg21650861,0.08,0.043,0.97,1.00,chr3,127299468,TPRA1;TPRA1;TPRA1,5'UTR;5'UTR;TSS200,,
cg21484228,0.36,0.043,0.97,1.00,chr3,32859417,TRIM71,TSS200,,
cg08154612,-0.28,0.043,0.97,1.00,chr17,7037098,,,,
cg17641566,-0.16,0.043,0.97,1.00,chr10,73565966,CDH23,Body,,
cg13394473,0.14,0.043,0.97,1.00,chr9,37007515,PAX5,Body,,
cg06577251,0.17,0.043,0.97,1.00,chr6,83073863,TPBG;TPBG,TSS200;5'UTR,,
cg01632300,0.22,0.043,0.97,1.00,chr6,152957223,SYNE1;SYNE1,5'UTR;5'UTR,,
cg24998096,0.14,0.043,0.97,1.00,chr5,115912261,,,,
cg00699934,0.19,0.043,0.97,1.00,chr7,139168503,KLRG2,TSS200,,
cg27070962,-0.18,0.043,0.97,1.00,chr6,156429014,,,,
cg26858414,-0.17,0.043,0.97,1.00,chr6,31083322,CDSN;PSORS1C1,3'UTR;5'UTR,,
cg20987369,-0.17,0.043,0.97,1.00,chr4,1579572,,,,
cg09244635,0.12,0.043,0.97,1.00,chr3,57529873,DNAH12;DNAH12,5'UTR;5'UTR,,
cg07590961,0.16,0.043,0.97,1.00,chr7,154002312,DPP6;DPP6;DPP6,TSS200;Body;Body,,
cg26098624,0.13,0.043,0.97,1.00,chr6,41511564,,,,
cg06592791,0.13,0.043,0.97,1.00,chr19,38925549,RYR1;RYR1,Body;Body,,
cg09869015,0.19,0.043,0.97,1.00,chr16,461785,DECR2,3'UTR,,
cg01472299,0.13,0.043,0.97,1.00,chr6,4775063,CDYL,Body,,
cg20771670,0.27,0.043,0.97,1.00,chr1,201438018,PHLDA3;PHLDA3,1stExon;5'UTR,,
cg27664085,0.24,0.043,0.97,1.00,chr15,89157815,,,,
cg22811647,0.14,0.043,0.97,1.00,chr14,105748448,BRF1,Body,,
cg04959298,-0.12,0.043,0.97,1.00,chr16,86430602,,,,
cg17472823,0.12,0.043,0.97,1.00,chr11,46939616,LRP4,Body,,
cg14724364,-0.19,0.043,0.97,1.00,chr11,17410554,KCNJ11;KCNJ11,TSS1500;5'UTR,,
cg10123247,0.28,0.043,0.97,1.00,chr8,117950929,C8orf85,Body,,
cg14133850,0.09,0.043,0.97,1.00,chr10,28525739,MPP7,Body,,
cg24882295,-0.11,0.043,0.97,1.00,chr17,26942215,KIAA0100;FLJ25006,Body;TSS1500,,
cg22616343,-0.10,0.043,0.97,1.00,chr6,32014381,TNXB;TNXB,Body;TSS1500,,
cg03836184,0.16,0.043,0.97,1.00,chr5,42424838,GHR,5'UTR,,
cg11832717,-0.14,0.043,0.97,1.00,chr11,2434218,TRPM5,Body,,
cg14528994,-0.15,0.043,0.97,1.00,chr9,74980737,ZFAND5;ZFAND5;ZFAND5,TSS1500;TSS1500;TSS1500,,
cg17220933,-0.09,0.043,0.97,1.00,chr1,206729613,RASSF5;RASSF5;RASSF5,Body;TSS1500;Body,,
cg09682128,-0.23,0.043,0.97,1.00,chr13,100613240,,,,
cg14409940,-0.12,0.043,0.97,1.00,chr9,130967820,CIZ1;DNM1;DNM1;CIZ1,TSS1500;Body;Body;TSS1500,,
cg07341534,-0.12,0.043,0.97,1.00,chr2,240071233,HDAC4,Body,,
cg13244312,0.18,0.043,0.97,1.00,chr14,71109707,TTC9,Body,,
cg15439202,-0.16,0.043,0.97,1.00,chr3,52348951,DNAH1,TSS1500,,
cg19979738,-0.33,0.043,0.97,1.00,chr22,37496929,TMPRSS6,Body,,
cg03839554,-0.18,0.043,0.97,1.00,chr3,179280332,ACTL6A;ACTL6A;ACTL6A,TSS1500;TSS1500;TSS1500,,
cg17657394,0.16,0.043,0.97,1.00,chr6,137819188,,,,
cg16596102,0.27,0.043,0.97,1.00,chr1,166134346,FAM78B,Body,,
cg00561322,0.16,0.043,0.97,1.00,chr11,111606373,PPP2R1B,Body,,
cg24321113,0.30,0.043,0.97,1.00,chr3,165513382,BCHE,Body,,
cg17591985,-0.21,0.043,0.97,1.00,chr5,89828771,,,,
cg06899313,0.22,0.043,0.97,1.00,chr6,117394045,,,,
cg03790440,-0.13,0.043,0.97,1.00,chr1,977896,AGRN,Body,,
cg04297067,0.30,0.043,0.97,1.00,chr16,86550450,,,,
cg22734236,-0.21,0.043,0.97,1.00,chr4,152462020,FAM160A1,5'UTR,,
cg10546048,-0.11,0.043,0.97,1.00,chr5,139126174,,,,
cg17511259,-0.28,0.043,0.97,1.00,chr2,39099230,DHX57,5'UTR,,
cg05512756,-0.18,0.043,0.97,1.00,chr5,35991735,UGT3A1,TSS1500,,
cg22967542,0.15,0.043,0.97,1.00,chr7,96647483,,,,
cg20193839,-0.18,0.043,0.97,1.00,chr8,61834501,,,,
cg16707400,-0.21,0.043,0.97,1.00,chr6,1416762,,,,
cg25424525,-0.20,0.043,0.97,1.00,chr4,146096030,OTUD4;OTUD4;OTUD4,5'UTR;5'UTR;5'UTR,,
cg20532972,0.15,0.043,0.97,1.00,chr3,171179043,TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,,
cg19565594,0.28,0.043,0.97,1.00,chr5,145215125,PRELID2;PRELID2;PRELID2,TSS1500;TSS1500;TSS1500,,
cg08206959,0.16,0.043,0.97,1.00,chr4,46391524,GABRA2;GABRA2,TSS200;5'UTR,,
cg03108347,0.09,0.043,0.97,1.00,chr11,70961784,,,,
